brand_name,industry,times_advertised,linkedin_slug,domain,google_url
Jo Malone London,Beauty,65,jo-malone-london,,https://www.google.com/search?q=Jo%20Malone%20London%20official%20website%20Greece
Lierac,Beauty,65,lierac,,https://www.google.com/search?q=Lierac%20official%20website%20Greece
NOZ,Beauty,65,,,https://www.google.com/search?q=NOZ%20official%20website%20Greece
Thanos Belalidis,Publishing / Self-Improvement,64,,,https://www.google.com/search?q=Thanos%20Belalidis%20official%20website%20Greece
L'Artigiano,Food,64,,,https://www.google.com/search?q=L%27Artigiano%20official%20website%20Greece
Vinyl art clothing,Fashion,64,,,https://www.google.com/search?q=Vinyl%20art%20clothing%20official%20website%20Greece
GOCAR,Media / Publishing,64,,,https://www.google.com/search?q=GOCAR%20official%20website%20Greece
Madame Figaro,Entertainment,64,,,https://www.google.com/search?q=Madame%20Figaro%20official%20website%20Greece
e-shop.gr,E-commerce,64,,,https://www.google.com/search?q=e-shop.gr%20official%20website%20Greece
Michael Kors,Apparel & Fashion,64,,,https://www.google.com/search?q=Michael%20Kors%20official%20website%20Greece
Ninja,Appliances / Consumer Electronics,64,,,https://www.google.com/search?q=Ninja%20official%20website%20Greece
Blade Over,Gambling,63,,,https://www.google.com/search?q=Blade%20Over%20official%20website%20Greece
BeWell Movement,Entertainment,63,,,https://www.google.com/search?q=BeWell%20Movement%20official%20website%20Greece
Hair House,Beauty,63,,,https://www.google.com/search?q=Hair%20House%20official%20website%20Greece
Stand Up Therapy,Self-Improvement,63,,,https://www.google.com/search?q=Stand%20Up%20Therapy%20official%20website%20Greece
Anita Brand,Beauty,63,,,https://www.google.com/search?q=Anita%20Brand%20official%20website%20Greece
Ilias Papageorgiadis,Business,62,,,https://www.google.com/search?q=Ilias%20Papageorgiadis%20official%20website%20Greece
Biodance,Beauty,62,beautyselection-biodance,,https://www.google.com/search?q=Biodance%20official%20website%20Greece
Allwyn,Business,62,,,https://www.google.com/search?q=Allwyn%20official%20website%20Greece
Popi Pagoudi,Fashion,62,,,https://www.google.com/search?q=Popi%20Pagoudi%20official%20website%20Greece
MAJOVOLI,Music,62,,,https://www.google.com/search?q=MAJOVOLI%20official%20website%20Greece
Eleni Petroulaki,Fitness,62,,,https://www.google.com/search?q=Eleni%20Petroulaki%20official%20website%20Greece
Rohnson,Appliances,61,,,https://www.google.com/search?q=Rohnson%20official%20website%20Greece
ESTIA Home Art,Home,61,,,https://www.google.com/search?q=ESTIA%20Home%20Art%20official%20website%20Greece
Juicy Couture,Apparel,61,,,https://www.google.com/search?q=Juicy%20Couture%20official%20website%20Greece
ChatGPT,Technology,61,,,https://www.google.com/search?q=ChatGPT%20official%20website%20Greece
DIESEL,Apparel,61,,,https://www.google.com/search?q=DIESEL%20official%20website%20Greece
Podia,Beauty,61,,,https://www.google.com/search?q=Podia%20official%20website%20Greece
Skip,Home,61,,,https://www.google.com/search?q=Skip%20official%20website%20Greece
Logitech,Gaming Peripherals,60,,,https://www.google.com/search?q=Logitech%20official%20website%20Greece
Moët & Chandon,Alcohol,60,,,https://www.google.com/search?q=Mo%C3%ABt%20%26%20Chandon%20official%20website%20Greece
Dodoni,Food,60,,,https://www.google.com/search?q=Dodoni%20official%20website%20Greece
Google,Technology,60,,,https://www.google.com/search?q=Google%20official%20website%20Greece
Hill's Pet Nutrition,Pet,59,,,https://www.google.com/search?q=Hill%27s%20Pet%20Nutrition%20official%20website%20Greece
Grey Goose,Alcoholic Beverages,59,,,https://www.google.com/search?q=Grey%20Goose%20official%20website%20Greece
Kiehl's Since 1851,Beauty,59,kiehls,,https://www.google.com/search?q=Kiehl%27s%20Since%201851%20official%20website%20Greece
Gymnastics stars,Fitness,59,,,https://www.google.com/search?q=Gymnastics%20stars%20official%20website%20Greece
Capital.gr,Entertainment,59,,,https://www.google.com/search?q=Capital.gr%20official%20website%20Greece
Amber.q,Cooking Equipment,59,,,https://www.google.com/search?q=Amber.q%20official%20website%20Greece
Izzy,Appliances,58,,,https://www.google.com/search?q=Izzy%20official%20website%20Greece
Envie Shoes,Fashion,58,,,https://www.google.com/search?q=Envie%20Shoes%20official%20website%20Greece
Mugler,Beauty,58,mugler,,https://www.google.com/search?q=Mugler%20official%20website%20Greece
Unstable Artouch,Beauty,58,,,https://www.google.com/search?q=Unstable%20Artouch%20official%20website%20Greece
Angel of Mind,Consulting / Self-Improvement,58,,,https://www.google.com/search?q=Angel%20of%20Mind%20official%20website%20Greece
